	chr	source	feature	start	end	score	strand	frame	attribute	close_sites
855	1	havana	gene	914171	914971	.	+	.	" ""AL645608.4"""	[]
859	1	havana	gene	916865	921016	.	-	.	" ""LINC02593"""	[]
870	1	ensembl_havana	gene	923928	944581	.	+	.	" ""SAMD11"""	[]
1227	1	ensembl_havana	gene	944203	959309	.	-	.	" ""NOC2L"""	[]
1309	1	ensembl_havana	gene	960584	965719	.	+	.	" ""KLHL17"""	[]
1383	1	ensembl_havana	gene	966482	975865	.	+	.	" ""PLEKHN1"""	[]
1508	1	ensembl_havana	gene	975204	982093	.	-	.	" ""PERM1"""	[]
1537	1	havana	gene	995966	998051	.	-	.	" ""AL645608.7"""	[]
1540	1	ensembl_havana	gene	998962	1000172	.	-	.	" ""HES4"""	[]
1579	1	ensembl_havana	gene	1001138	1014540	.	+	.	" ""ISG15"""	[]
1609	1	havana	gene	1008076	1008229	.	-	.	" ""AL645608.3"""	[]
1612	1	havana	gene	1011997	1013193	.	-	.	" ""AL645608.1"""	[]
1616	1	ensembl_havana	gene	1020120	1056118	.	+	.	" ""AGRN"""	[]
1956	1	havana	gene	1055033	1056116	.	+	.	" ""AL645608.5"""	[]
1960	1	havana	gene	1059708	1069355	.	+	.	" ""AL390719.1"""	[]
1992	1	havana	gene	1062208	1063288	.	-	.	" ""AL645608.8"""	[]
1996	1	ensembl_havana	gene	1070967	1074306	.	-	.	" ""RNF223"""	[]
2006	1	ensembl_havana	gene	1081818	1116361	.	-	.	" ""C1orf159"""	[]
2325	1	havana	gene	1097585	1104598	.	+	.	" ""AL390719.3"""	[]
2329	1	havana	gene	1137017	1144056	.	+	.	" ""LINC01342"""	[]
2334	1	mirbase	gene	1167104	1167198	.	+	.	" ""MIR200B"""	[]
2337	1	mirbase	gene	1167863	1167952	.	+	.	" ""MIR200A"""	[]
2340	1	mirbase	gene	1169005	1169087	.	+	.	" ""MIR429"""	[]
2343	1	havana	gene	1169357	1170343	.	+	.	" ""AL390719.2"""	[]
2346	1	havana	gene	1173056	1179555	.	-	.	" ""TTLL10-AS1"""	[]
2350	1	ensembl_havana	gene	1173884	1197935	.	+	.	" ""TTLL10"""	[]
2473	1	ensembl_havana	gene	1203508	1206592	.	-	.	" ""TNFRSF18"""	[]
2526	1	ensembl_havana	gene	1211340	1214153	.	-	.	" ""TNFRSF4"""	[]
2557	1	ensembl_havana	gene	1216908	1232067	.	-	.	" ""SDF4"""	[]
2671	1	ensembl_havana	gene	1232237	1235041	.	+	.	" ""B3GALT6"""	[]
2679	1	ensembl_havana	gene	1242446	1246722	.	-	.	" ""C1QTNF12"""	[]
2715	1	havana	gene	1249777	1251334	.	-	.	" ""AL162741.1"""	[]
2718	1	ensembl_havana	gene	1253909	1273885	.	-	.	" ""UBE2J2"""	[]
2992	1	havana	gene	1275223	1280420	.	+	.	" ""LINC01786"""	[]
3000	1	ensembl_havana	gene	1280436	1292029	.	+	.	" ""SCNN1D"""	[]
3219	1	ensembl_havana	gene	1292390	1309609	.	-	.	" ""ACAP3"""	[]
3420	1	mirbase	gene	1296110	1296170	.	-	.	" ""MIR6726"""	[]
3423	1	ensembl_havana	gene	1308597	1311677	.	+	.	" ""PUSL1"""	[]
3475	1	ensembl_havana	gene	1311585	1324691	.	-	.	" ""INTS11"""	[]
4313	1	mirbase	gene	1312502	1312566	.	-	.	" ""MIR6727"""	[]
4316	1	havana	gene	1317581	1318689	.	-	.	" ""AL139287.1"""	[]
4320	1	ensembl_havana	gene	1324756	1328896	.	+	.	" ""CPTP"""	[]
4344	1	ensembl_havana	gene	1331280	1335314	.	+	.	" ""TAS1R3"""	[]
4362	1	ensembl_havana	gene	1335276	1349418	.	-	.	" ""DVL1"""	[]
4505	1	mirbase	gene	1339650	1339708	.	-	.	" ""MIR6808"""	[]
4508	1	ensembl_havana	gene	1352689	1361777	.	-	.	" ""MXRA8"""	[]
4633	1	ensembl_havana	gene	1373730	1375495	.	-	.	" ""AURKAIP1"""	[]
4690	1	havana	gene	1378666	1379032	.	+	.	" ""NDUFB4P8"""	[]
4693	1	ensembl_havana	gene	1385711	1399335	.	-	.	" ""CCNL2"""	[]
4953	1	havana	gene	1399520	1402046	.	+	.	" ""MRPL20-AS1"""	[]
4983	1	ensembl_havana	gene	1401909	1407293	.	-	.	" ""MRPL20"""	[]
5029	1	ensembl	gene	1405460	1405752	.	-	.	" ""RN7SL657P"""	[]
5032	1	havana	gene	1409096	1410618	.	+	.	" ""AL391244.2"""	[]
5035	1	ensembl_havana	gene	1418420	1421769	.	-	.	" ""ANKRD65"""	[]
5088	1	havana	gene	1420245	1422691	.	+	.	" ""AL391244.1"""	[]
5092	1	ensembl_havana	gene	1426128	1427787	.	+	.	" ""TMEM88B"""	[]
5100	1	havana	gene	1430539	1434573	.	-	.	" ""LINC01770"""	[]
5113	1	ensembl_havana	gene	1434861	1442882	.	+	.	" ""VWA1"""	[]
5150	1	ensembl_havana	gene	1449689	1470163	.	+	.	" ""ATAD3C"""	[]
5198	1	ensembl_havana	gene	1471765	1497848	.	+	.	" ""ATAD3B"""	[]
5305	1	havana	gene	1503250	1509452	.	+	.	" ""AL645728.2"""	[]
5312	1	ensembl_havana	gene	1512162	1534685	.	+	.	" ""ATAD3A"""	[]
5504	1	ensembl_havana	gene	1534778	1540624	.	-	.	" ""TMEM240"""	[]
5542	1	ensembl_havana	gene	1541673	1574863	.	-	.	" ""SSU72"""	[]
5575	1	havana	gene	1574102	1577075	.	+	.	" ""AL645728.1"""	[]
5581	1	havana	gene	1583510	1583909	.	-	.	" ""AL691432.3"""	[]
5584	1	ensembl_havana	gene	1598012	1600135	.	-	.	" ""FNDC10"""	[]
5592	1	havana_tagene	gene	1600314	1602703	.	+	.	" ""AL691432.4"""	[]
5597	1	havana	gene	1613758	1615795	.	-	.	" ""AL691432.2"""	[]
5600	1	ensembl_havana	gene	1615415	1630610	.	+	.	" ""MIB2"""	[]
6249	1	ensembl_havana	gene	1632163	1635263	.	+	.	" ""MMP23B"""	[]
6372	1	ensembl_havana	gene	1635227	1659012	.	-	.	" ""CDK11B"""	[]
6749	1	havana	gene	1659325	1662602	.	+	.	" ""FO704657.1"""	[]
6753	1	ensembl_havana	gene	1659529	1692795	.	-	.	" ""SLC35E2B"""	[]
6831	1	havana	gene	1671990	1674397	.	+	.	" ""AL691432.1"""	[]
6837	1	havana	gene	1699942	1701782	.	+	.	" ""MMP23A"""	[]
6846	1	ensembl_havana	gene	1702379	1724357	.	-	.	" ""CDK11A"""	[]
7294	1	havana	gene	1702736	1737688	.	-	.	" ""AL031282.2"""	[]
7316	1	havana	gene	1724512	1737251	.	+	.	" ""AL031282.1"""	[]
7329	1	ensembl_havana	gene	1724838	1745999	.	-	.	" ""SLC35E2A"""	[]
7390	1	ensembl_havana	gene	1751232	1780457	.	-	.	" ""NADK"""	[]
7610	1	ensembl_havana	gene	1785285	1891117	.	-	.	" ""GNB1"""	[]
7765	1	havana	gene	1891471	1892658	.	+	.	" ""AL109917.1"""	[]
7769	1	ensembl_havana	gene	1915108	1917296	.	+	.	" ""CALML6"""	[]
7810	1	ensembl_havana	gene	1917590	1919279	.	-	.	" ""TMEM52"""	[]
7871	1	ensembl_havana	gene	1921951	2003837	.	-	.	" ""CFAP74"""	[]
8098	1	havana	gene	2013213	2015639	.	-	.	" ""AL391845.2"""	[]
8106	1	ensembl_havana	gene	2019329	2030758	.	+	.	" ""GABRD"""	[]
8352	1	havana	gene	2049203	2050070	.	-	.	" ""AL391845.1"""	[]
8360	1	ensembl_havana	gene	2050411	2185395	.	+	.	" ""PRKCZ"""	[]
8765	1	havana	gene	2141084	2145279	.	-	.	" ""AL590822.2"""	[]
8768	1	havana	gene	2181794	2184389	.	-	.	" ""PRKCZ-AS1"""	[]
8776	1	ensembl_havana	gene	2184461	2212720	.	-	.	" ""FAAP20"""	[]
8922	1	havana	gene	2212523	2220738	.	+	.	" ""AL590822.1"""	[]
8926	1	ensembl_havana	gene	2228319	2310213	.	+	.	" ""SKI"""	[]
8956	1	havana	gene	2315040	2323085	.	+	.	" ""AL590822.3"""	[]
8966	1	ensembl_havana	gene	2321253	2391707	.	-	.	" ""MORN1"""	[]
9100	1	havana	gene	2326201	2326693	.	-	.	" ""AL589739.1"""	[]
9103	1	havana	gene	2350414	2352820	.	-	.	" ""AL513477.1"""	[]
9108	1	havana	gene	2363061	2363628	.	-	.	" ""AL513477.2"""	[]
9111	1	ensembl_havana	gene	2391775	2405442	.	+	.	" ""RER1"""	[]
9239	1	ensembl_havana	gene	2403964	2413797	.	-	.	" ""PEX10"""	[]
9359	1	ensembl_havana	gene	2425980	2505532	.	+	.	" ""PLCH2"""	[]
9591	1	havana	gene	2492300	2493258	.	-	.	" ""AL139246.1"""	[]
9595	1	havana	gene	2493437	2494479	.	-	.	" ""AL139246.4"""	[]
9599	1	ensembl_havana	gene	2508537	2526611	.	-	.	" ""PANK4"""	[]
9840	1	ensembl_havana	gene	2528745	2530263	.	-	.	" ""HES5"""	[]
9852	1	havana	gene	2530064	2547460	.	+	.	" ""AL139246.5"""	[]
9858	1	havana	gene	2549920	2557031	.	-	.	" ""TNFRSF14-AS1"""	[]
9884	1	ensembl_havana	gene	2555639	2565382	.	+	.	" ""TNFRSF14"""	[]
10050	1	havana	gene	2566410	2569888	.	+	.	" ""AL139246.2"""	[]
10055	1	havana	gene	2581560	2584533	.	+	.	" ""AL139246.3"""	[]
10060	1	ensembl_havana	gene	2586491	2591469	.	+	.	" ""PRXL2B"""	[]
10244	1	ensembl_havana	gene	2590639	2633016	.	-	.	" ""MMEL1"""	[]
10420	1	havana	gene	2632568	2636620	.	+	.	" ""AL831784.1"""	[]
10424	1	ensembl_havana	gene	2635976	2801717	.	-	.	" ""TTC34"""	[]
10466	1	havana	gene	2768091	2784733	.	+	.	" ""AC242022.2"""	[]
10471	1	havana	gene	2773603	2776473	.	+	.	" ""AC242022.1"""	[]
10483	1	havana	gene	2811850	2812692	.	-	.	" ""AL592464.2"""	[]
10487	1	havana_tagene	gene	2814056	2817767	.	+	.	" ""AL592464.3"""	[]
10491	1	havana	gene	2814432	2814998	.	-	.	" ""AL592464.1"""	[]
10495	1	havana	gene	2960658	2968707	.	-	.	" ""AL589702.1"""	[]
10504	1	ensembl_havana	gene	3021467	3022903	.	+	.	" ""ACTRT2"""	[]
10512	1	ensembl_havana	gene	3059615	3068437	.	-	.	" ""PRDM16-DT"""	[]
10556	1	ensembl_havana	gene	3069168	3438621	.	+	.	" ""PRDM16"""	[]
10776	1	mirbase	gene	3127975	3128035	.	+	.	" ""MIR4251"""	[]
10779	1	havana	gene	3132927	3133709	.	-	.	" ""AL008733.1"""	[]
10783	1	havana	gene	3205988	3208664	.	+	.	" ""AL512383.1"""	[]
10786	1	havana	gene	3306636	3310096	.	-	.	" ""AL590438.1"""	[]
10789	1	havana_tagene	gene	3313052	3323149	.	-	.	" ""AL354743.2"""	[]
10793	1	havana_tagene	gene	3367815	3373928	.	-	.	" ""AL354743.1"""	[]
10797	1	ensembl_havana	gene	3454665	3481113	.	+	.	" ""ARHGEF16"""	[]
10930	1	havana	gene	3487246	3487627	.	+	.	" ""AL512413.1"""	[]
10933	1	ensembl_havana	gene	3487951	3611508	.	-	.	" ""MEGF6"""	[]
11186	1	mirbase	gene	3560695	3560790	.	-	.	" ""MIR551A"""	[]
11189	1	havana	gene	3623190	3624743	.	-	.	" ""AL513320.1"""	[(1, 3602093.0, 3802333.0)]
11194	1	ensembl_havana	gene	3625015	3630127	.	+	.	" ""TPRG1L"""	[(1, 3602093.0, 3802333.0)]
11223	1	ensembl_havana	gene	3630767	3652761	.	-	.	" ""WRAP73"""	[(1, 3602093.0, 3802333.0)]
11354	1	ensembl_havana	gene	3652516	3736201	.	+	.	" ""TP73"""	[(1, 3652093.0, 3752333.0), (1, 3602093.0, 3802333.0)]
11685	1	havana	gene	3658938	3668772	.	-	.	" ""AL136528.1"""	[(1, 3652093.0, 3752333.0), (1, 3602093.0, 3802333.0)]
11690	1	havana	gene	3712200	3714298	.	-	.	" ""AL136528.2"""	[(1, 3652093.0, 3752333.0), (1, 3602093.0, 3802333.0)]
11694	1	havana	gene	3735511	3747373	.	-	.	" ""TP73-AS1"""	[(1, 3652093.0, 3752333.0), (1, 3602093.0, 3802333.0)]
11866	1	ensembl	gene	3736943	3737103	.	+	.	" ""AL136528.3"""	[(1, 3652093.0, 3752333.0), (1, 3602093.0, 3802333.0)]
11869	1	ensembl_havana	gene	3746460	3771645	.	+	.	" ""CCDC27"""	[(1, 3602093.0, 3802333.0)]
11935	1	ensembl_havana	gene	3772761	3775982	.	+	.	" ""SMIM1"""	[(1, 3602093.0, 3802333.0)]
11978	1	ensembl_havana	gene	3778559	3796498	.	-	.	" ""LRRC47"""	[(1, 3602093.0, 3802333.0)]
12016	1	ensembl	gene	3782815	3783111	.	+	.	" ""RN7SL574P"""	[(1, 3602093.0, 3802333.0)]
12019	1	havana	gene	3785008	3785538	.	+	.	" ""AL365330.1"""	[(1, 3602093.0, 3802333.0)]
12022	1	ensembl_havana	gene	3812086	3857214	.	-	.	" ""CEP104"""	[]
12178	1	ensembl_havana	gene	3857267	3885429	.	+	.	" ""DFFB"""	[]
12370	1	ensembl_havana	gene	3889125	3900293	.	-	.	" ""C1orf174"""	[]
12394	1	havana	gene	3900352	3917225	.	+	.	" ""LINC01134"""	[]
12410	1	havana	gene	3940486	3955262	.	+	.	" ""LINC01346"""	[]
12426	1	havana	gene	3944547	3949024	.	-	.	" ""LINC01345"""	[]
12446	1	havana	gene	3976133	4012704	.	+	.	" ""LINC02780"""	[]
12463	1	havana	gene	4012921	4019508	.	-	.	" ""AL805961.1"""	[]
12467	1	havana	gene	4175528	4175899	.	-	.	" ""EEF1DP6"""	[]
12470	1	havana	gene	4412027	4424689	.	+	.	" ""LINC01777"""	[]
12546	1	havana	gene	4479131	4484375	.	-	.	" ""AL355602.1"""	[]
12550	1	havana	gene	4551735	4552145	.	-	.	" ""Z98747.1"""	[]
12554	1	havana	gene	4571481	4594016	.	+	.	" ""LINC01646"""	[]
12590	1	ensembl_havana	gene	4654609	4792534	.	+	.	" ""AJAP1"""	[]
12628	1	havana_tagene	gene	4730211	4734992	.	-	.	" ""Z98886.1"""	[]
12635	1	havana	gene	4963954	4973298	.	-	.	" ""BX005132.1"""	[]
12640	1	havana	gene	4973381	4981568	.	+	.	" ""LINC02781"""	[]
12647	1	havana	gene	5086459	5090899	.	-	.	" ""LINC02782"""	[]
12653	1	havana	gene	5301928	5307394	.	-	.	" ""AL139823.1"""	[]
12659	1	havana	gene	5478736	5493057	.	-	.	" ""Z98259.3"""	[]
12673	1	havana	gene	5480787	5482028	.	-	.	" ""Z98259.2"""	[]
12677	1	havana	gene	5492978	5494674	.	+	.	" ""Z98259.1"""	[]
12680	1	havana	gene	5554747	5554881	.	+	.	" ""Z97988.2"""	[]
12683	1	havana	gene	5561709	5668295	.	-	.	" ""AL365255.1"""	[]
12691	1	mirbase	gene	5564071	5564143	.	+	.	" ""Z97988.1"""	[]
12694	1	mirbase	gene	5862672	5862741	.	-	.	" ""MIR4689"""	[]
12697	1	ensembl_havana	gene	5862811	5992473	.	-	.	" ""NPHP4"""	[]
12997	1	ensembl_havana	gene	5990927	6101193	.	+	.	" ""KCNAB2"""	[]
13993	1	ensembl_havana	gene	6101787	6180321	.	-	.	" ""CHD5"""	[]
14289	1	havana	gene	6159430	6197757	.	-	.	" ""AL031847.2"""	[]
14305	1	ensembl_havana	gene	6185020	6209389	.	-	.	" ""RPL22"""	[]
14384	1	havana	gene	6204840	6205780	.	-	.	" ""AL031847.1"""	[]
14389	1	ensembl_havana	gene	6205475	6221299	.	+	.	" ""RNF207"""	[]
14474	1	ensembl_havana	gene	6221193	6235972	.	-	.	" ""ICMT"""	[]
14523	1	ensembl_havana	gene	6234692	6239444	.	+	.	" ""LINC00337"""	[]
14538	1	ensembl_havana	gene	6244179	6245578	.	+	.	" ""HES3"""	[]
14552	1	ensembl_havana	gene	6247353	6261098	.	-	.	" ""GPR153"""	[]
14570	1	ensembl_havana	gene	6264269	6394391	.	-	.	" ""ACOT7"""	[]
14782	1	havana	gene	6393555	6394391	.	+	.	" ""AL031848.2"""	[]
14785	1	ensembl_havana	gene	6412418	6424670	.	-	.	" ""HES2"""	[]
14848	1	ensembl_havana	gene	6424776	6461367	.	+	.	" ""ESPN"""	[]
15076	1	mirbase	gene	6429834	6429896	.	-	.	" ""MIR4252"""	[]
15079	1	havana	gene	6443034	6447006	.	-	.	" ""AL031848.1"""	[]
15084	1	ensembl_havana	gene	6460786	6466195	.	-	.	" ""TNFRSF25"""	[]
15396	1	ensembl_havana	gene	6466092	6520061	.	-	.	" ""PLEKHG5"""	[]
15955	1	ensembl_havana	gene	6521347	6554513	.	-	.	" ""NOL9"""	[]
16000	1	ensembl	gene	6540854	6540964	.	+	.	" ""RNU6-731P"""	[]
16003	1	havana	gene	6547905	6548619	.	+	.	" ""AL591866.1"""	[]
16007	1	ensembl_havana	gene	6555307	6579755	.	+	.	" ""TAS1R1"""	[]
16058	1	ensembl_havana	gene	6579994	6589280	.	+	.	" ""ZBTB48"""	[(1, 6559451.0, 6759721.0)]
16151	1	ensembl_havana	gene	6590724	6614607	.	-	.	" ""KLHL21"""	[(1, 6559451.0, 6759721.0)]
16221	1	ensembl_havana	gene	6613731	6624030	.	+	.	" ""PHF13"""	[(1, 6609451.0, 6709721.0), (1, 6559451.0, 6759721.0)]
16238	1	ensembl_havana	gene	6624866	6635586	.	+	.	" ""THAP3"""	[(1, 6609451.0, 6709721.0), (1, 6559451.0, 6759721.0)]
16323	1	ensembl_havana	gene	6634168	6701924	.	-	.	" ""DNAJC11"""	[(1, 6609451.0, 6709721.0), (1, 6559451.0, 6759721.0)]
16479	1	havana	gene	6724637	6730012	.	+	.	" ""LINC01672"""	[(1, 6559451.0, 6759721.0)]
16500	1	havana	gene	6767954	6770038	.	+	.	" ""AL591163.1"""	[]
16505	1	havana	gene	6783892	6784843	.	-	.	" ""CAMTA1-DT"""	[]
16510	1	ensembl_havana	gene	6785454	7769706	.	+	.	" ""CAMTA1"""	[]
16714	1	havana	gene	6834333	6834618	.	-	.	" ""AL590128.1"""	[]
16717	1	havana	gene	7008376	7014279	.	-	.	" ""AL512330.1"""	[]
16721	1	ensembl	gene	7219360	7219524	.	+	.	" ""RNU1-8P"""	[]
16724	1	havana	gene	7368942	7370270	.	+	.	" ""CAMTA1-IT1"""	[]
16728	1	havana	gene	7382487	7389754	.	-	.	" ""Z97987.1"""	[]
16736	1	havana	gene	7441096	7441554	.	-	.	" ""AL365194.1"""	[]
16740	1	havana	gene	7693124	7694844	.	-	.	" ""AL359881.3"""	[]
16743	1	havana	gene	7698303	7698872	.	-	.	" ""AL359881.2"""	[]
16746	1	havana	gene	7700704	7700970	.	-	.	" ""AL359881.1"""	[]
16749	1	ensembl_havana	gene	7771296	7781432	.	+	.	" ""VAMP3"""	[]
16784	1	havana	gene	7776383	7776775	.	+	.	" ""Z98884.2"""	[]
16787	1	ensembl_havana	gene	7784320	7845177	.	+	.	" ""PER3"""	[]
17021	1	havana	gene	7810242	7827342	.	-	.	" ""Z98884.1"""	[]
17026	1	ensembl_havana	gene	7843083	7853512	.	-	.	" ""UTS2"""	[]
17072	1	ensembl_havana	gene	7915894	7943165	.	-	.	" ""TNFRSF9"""	[]
17139	1	havana	gene	7942372	7942726	.	+	.	" ""AL009183.1"""	[]
17142	1	ensembl_havana	gene	7954291	7985505	.	+	.	" ""PARK7"""	[]
17285	1	ensembl	gene	7982881	7982983	.	-	.	" ""Y_RNA"""	[]
17288	1	havana	gene	7991134	8005312	.	+	.	" ""AL034417.4"""	[]
17299	1	havana	gene	7998187	7999934	.	-	.	" ""AL034417.3"""	[]
17303	1	ensembl_havana	gene	8004404	8026309	.	-	.	" ""ERRFI1"""	[]
17361	1	havana	gene	8026738	8122702	.	+	.	" ""AL034417.2"""	[]
17366	1	havana	gene	8057245	8058463	.	-	.	" ""AL034417.1"""	[]
17370	1	havana	gene	8189824	8192770	.	+	.	" ""AL358876.1"""	[]
17376	1	havana	gene	8201518	8215210	.	+	.	" ""LINC01714"""	[]
17393	1	ensembl	gene	8206434	8206597	.	-	.	" ""RNU1-7P"""	[]
17396	1	havana	gene	8218190	8220529	.	-	.	" ""AL358876.2"""	[]
17400	1	ensembl	gene	8292157	8292263	.	-	.	" ""RNU6-991P"""	[]
17403	1	ensembl_havana	gene	8317826	8344167	.	+	.	" ""SLC45A1"""	[]
17457	1	ensembl	gene	8328067	8328179	.	+	.	" ""Y_RNA"""	[]
17460	1	ensembl_havana	gene	8352397	8848921	.	-	.	" ""RERE"""	[]
17837	1	havana	gene	8424645	8435013	.	+	.	" ""RERE-AS1"""	[]
17852	1	ensembl	gene	8511795	8511919	.	-	.	" ""AL096855.1"""	[]
17855	1	havana	gene	8512653	8513021	.	+	.	" ""AL096855.2"""	[]
17858	1	havana	gene	8750430	8751087	.	+	.	" ""RPL7P11"""	[]
17861	1	havana	gene	8786211	8786913	.	-	.	" ""RPL7P7"""	[]
17864	1	ensembl	gene	8796571	8796673	.	-	.	" ""Y_RNA"""	[]
17867	1	havana	gene	8798475	8799506	.	+	.	" ""AL357552.1"""	[]
17871	1	havana	gene	8805860	8807051	.	-	.	" ""AL357552.2"""	[]
17875	1	havana	gene	8831007	8831375	.	+	.	" ""RPL23AP19"""	[]
17878	1	ensembl_havana	gene	8861000	8879190	.	-	.	" ""ENO1"""	[]
18119	1	mirbase	gene	8866502	8866590	.	-	.	" ""MIR6728"""	[]
18122	1	havana	gene	8878835	8879894	.	+	.	" ""ENO1-AS1"""	[]
18126	1	ensembl	gene	8883427	8883533	.	-	.	" ""RNU6-304P"""	[]
18129	1	havana	gene	8893409	8894151	.	+	.	" ""HMGN2P17"""	[]
18132	1	havana	gene	8907393	8907744	.	-	.	" ""AL139415.1"""	[]
18135	1	havana	gene	8909742	8909904	.	+	.	" ""AL139415.2"""	[]
18138	1	ensembl_havana	gene	8945867	8975092	.	+	.	" ""CA6"""	[]
18229	1	ensembl	gene	8979576	8979874	.	-	.	" ""RN7SL451P"""	[]
18232	1	ensembl_havana	gene	9003300	9026345	.	-	.	" ""SLC2A7"""	[]
18260	1	ensembl_havana	gene	9035106	9088478	.	-	.	" ""SLC2A5"""	[]
18416	1	ensembl	gene	9082696	9082879	.	+	.	" ""AL158048.1"""	[]
18419	1	ensembl_havana	gene	9100305	9129102	.	-	.	" ""GPR157"""	[]
18441	1	havana	gene	9148011	9198906	.	-	.	" ""MIR34AHG"""	[]
18453	1	mirbase	gene	9151668	9151777	.	-	.	" ""MIR34A"""	[]
18456	1	havana	gene	9182004	9196284	.	+	.	" ""LNCTAM34A"""	[]
18482	1	ensembl_havana	gene	9234775	9271337	.	+	.	" ""H6PD"""	[]
18516	1	ensembl_havana	gene	9292894	9369532	.	+	.	" ""SPSB1"""	[]
18554	1	havana	gene	9421098	9422862	.	-	.	" ""BX323043.1"""	[]
18557	1	havana	gene	9425094	9440564	.	-	.	" ""LINC02606"""	[]
18567	1	ensembl	gene	9437669	9437778	.	-	.	" ""RNA5SP40"""	[]
18570	1	havana	gene	9501092	9503471	.	-	.	" ""AL928921.1"""	[]
18574	1	ensembl_havana	gene	9539465	9585173	.	+	.	" ""SLC25A33"""	[]
